,as_of,ticker
514,2011-02-28,AWK
694,2010-02-24,AMP
783,2010-04-28,BBY
817,2009-08-10,BDX
1126,2010-02-19,GE
1195,2009-08-06,BSX
1229,2010-08-06,BX
1276,2010-07-09,GIS
1288,2010-02-26,C
1714,2011-02-24,CHD
1785,2011-05-03,CHTR
1792,2014-11-12,ARES
1793,2015-03-20,ARES
1794,2015-05-12,ARES
1797,2014-08-13,ARES
1928,2010-10-21,DHR
1981,2011-02-25,LMT
1987,2010-02-23,CMCSA
2083,2010-02-26,CMI
2195,2010-02-26,COF
2275,2010-12-17,COO
2481,2011-02-24,CPT
2554,2010-02-08,BA
2775,2019-02-21,GPN
2783,2018-08-02,GPN
3007,2009-12-17,DE
3022,2014-06-09,BBY
3024,2014-12-05,BBY
3194,2009-07-23,DHR
3409,2011-05-05,DPZ
3890,2009-07-23,BMY
3891,2009-10-22,BMY
3971,2011-07-25,HST
4331,2012-02-15,MSI
4336,2011-02-10,EXC
4413,2009-11-06,BSX
4780,2009-07-31,LLY
4781,2009-10-30,LLY
4905,2010-02-26,FITB
4914,2012-05-08,CAH
5209,2013-11-04,NOW
5380,2010-11-04,IFF
5560,2011-07-25,GPN
6079,2013-02-26,ON
6106,2010-12-21,HRL
6126,2015-03-03,CFG
6222,2011-11-04,CHD
6245,2010-10-22,HUBB
6469,2011-08-02,CHTR
6471,2011-11-01,CHTR
6487,2011-02-25,IEX
6755,2011-03-01,IRM
6859,2009-08-07,ITW
6860,2009-10-30,ITW
6895,2010-02-26,IVZ
7025,2009-11-17,JCI
8053,2012-02-29,LYB
8096,2026-02-25,PSKY
8345,2012-10-24,META
8467,2013-03-01,REG
8468,2013-11-01,REG
8469,2013-08-02,REG
8470,2014-05-08,REG
8475,2012-02-27,GM
8476,2014-08-08,REG
8487,2016-02-18,REG
8491,2017-08-08,REG
8492,2016-11-04,REG
8493,2018-02-27,REG
8610,2011-03-01,MNST
9141,2010-02-26,PRU
9503,2017-05-04,GPN
9523,2011-02-17,REGN
9765,2019-10-31,CTVA
9786,2010-11-09,GS
9836,2009-11-02,ROP
9947,2019-11-06,CVS
10210,2010-02-17,PFG
10474,2010-03-11,PNC
10516,2011-02-23,PNR
10957,2010-11-04,TAP
10961,2011-02-22,TAP
10988,2010-08-06,RJF
11061,2015-11-06,KHC
11127,2009-10-22,DHR
11331,2011-11-14,TER
11395,2010-02-25,SCHW
11566,2011-02-17,SNA
12026,2018-03-28,VICI
12138,2019-05-01,VICI
12139,2019-07-31,VICI
12371,2010-03-12,TGT
12471,2018-08-07,VRT
12575,2018-08-06,VST
12634,2009-08-07,VLO
12635,2009-11-05,VLO
12816,2019-02-28,VST
12843,2010-11-01,ED
13353,2017-05-05,LDOS
13354,2017-08-04,LDOS
13355,2016-11-04,LDOS
13516,2011-05-02,HST
13527,2011-10-17,HST
13559,2009-08-05,EMR
13811,2013-02-22,HSY
13879,2009-08-06,EQR
13880,2009-11-05,EQR
13977,2011-05-25,TTWO
14216,2010-02-16,WM
14980,2010-08-09,TSN
15571,2009-07-30,J
15689,2010-02-26,MET
15743,2018-08-07,KDP
15889,2009-08-07,KMB
16155,2009-08-26,MSI
16156,2009-11-04,MSI
16159,2011-02-18,MSI
16259,2010-08-05,IFF
16349,2010-02-25,IP
16360,2013-02-12,LYB
16434,2014-05-02,MAA
16666,2017-10-25,KDP
16775,2009-11-06,KMB
16798,2011-11-02,KMI
17428,2012-07-31,META
17581,2012-03-12,MPWR
17655,2011-11-03,ON
17744,2010-11-02,MSI
17862,2012-02-29,REG
17866,2017-05-10,REG
17867,2019-02-21,REG
18175,2012-04-12,NXPI
18387,2026-05-04,PSKY
18514,2014-11-04,REG
18515,2015-05-07,REG
18516,2017-02-27,REG
18845,2025-11-10,PSKY
19026,2011-05-26,RL
19088,2011-02-25,ROL
19108,2009-08-17,ROP
19207,2011-02-25,SBAC
19273,2011-07-19,URI
19274,2011-10-18,URI
19317,2010-02-05,SLB
19436,2010-02-25,SPG
19527,2018-11-06,VRT
19560,2020-11-10,VTRS
19567,2021-11-08,VTRS
19576,2018-05-04,VST
19821,2012-11-09,TER
20016,2017-11-13,VICI
20605,2020-02-25,WAT
20661,2024-02-27,TKO
20739,2009-07-29,TXN
20848,2009-10-30,TXN
21029,2010-02-10,UNH
21060,2010-02-19,VTR
21139,2023-11-07,WAT
21155,2010-02-26,WAT
21177,2022-02-24,WAT
21199,2022-11-03,WAT
21203,2024-02-27,WAT
21206,2010-02-22,WBD
21403,2009-07-31,XEL
21539,2010-03-30,WMT
22080,2017-08-08,YUM
22081,2016-10-11,YUM
22082,2017-11-08,YUM
22083,2018-02-22,YUM
22084,2018-05-09,YUM
22230,2011-02-25,ALB
22320,2015-02-27,ALLE
22345,2009-12-11,AMAT
